Question,Answer,Answer_1,Answer_2,Answer_3,Answer_4,Answer_5,Answer_6
gdlxy,一次一评,一事一评,综合评价,,,,
zdsxs,特型机动车临时行驶车号牌核发,个人身份信息核验,,,,,
ynxrq,具有审批管理权限的部门,具有公共服务职能的企事业单位,政务服务部门面向各级审批管理工作人员,政务服务部门面向各级窗口服务工作人员,,,
spxds,政务服务事项办事指南、受理要点、审批标准、咨询答复口径等,“高效办成一件事”政策要求、适用范围、具体事项、 办理流程等,首问负责、一次性告知、限时办结、帮办代办等服务制度,政务服务领域接诉即办工作机制、问题分析、整改措施和典型案例,,,
npxds,服务意识、服务理念、工作作风和工作纪律等,服务用语、服务礼仪、沟通能力以及业务外语、无障碍交流等,情绪管理、压力管理、现场管理等,安全管理、突发事件应急处置等,,,
mnbsc,晨训晚结,专题培训,现场教学,案例分析,,,
dxsds,下基层,跑工单,走流程,蹲点位,,,
sxzwf,同一事项,同一标准,同一编码,,,,
lzyzx,跨地区,跨部门,,,,,
gzmss,前台综合受理,后台分类审批,综合窗口出件,,,,
scjsc,形式,格式,,,,,
dfsbk,窗口领取,邮寄,自助领取,线上领取,,,
kdbxy,线下申请。可通过政务服务窗口、集成式自助服务终端等进行现场申请。,线上申请。可通过政务服务平台进行线上申请。,,,,,
blhcs,采取现场、邮政特快专递等方式送达。,实施机构宜在政务服务平台为申请人提供电子证照。,,,,,
jnxjd,工程建设,经营发展, 出行,身后,,,
djtsx,企业投资（含外商投资）项目核准/备案,固定资产投资项目节能审查,建设项目用地预审与选址意见书核发,建设项目环境影响评价,,,
dqddd,“好差评”体系,12345政务服务便民热线,线上线下“办不成事”反映窗口,媒体机构留言板,,,
bsznh,可读性,通俗性,,,,,
zxytg,业务咨询,申报辅导,帮办引导,沟通协调,,,
qlcws,优化报装流程,精简报装材料,压缩办理时间,实现报装申请,,,
dtcyg,12345服务热线电话,部门电话,政府网站,政务新媒体,,,
bllcs,受理条件,服务对象,办理结果,法定办结时限,,,
fzqds,中心管理机构工作人员需对拟公开信息进行保密审查，并确保其准确性和一致性。,公民可通过政务服务中心网站、信息查阅点、窗口咨询等多种方式获取主动公开的信息。,主动公开的信息若涉及其他行政机关，需由上级信息公开主管单位或保密工作部门协调处理。,,,,
fzqds,公民、法人或者其他组织可以根据自身需要，向中心管理机构申请获取相关政府信息。,若申请内容不明确的应告知申请人更改，由中心管理机构在进行保密审查、准确性等审查、征求第三方意见等工作过程后，选择适当的答复方式。,,,,,
hsynr,所需信息的内容描述,所需信息的指定提供载体形式,所需信息的名称,是否申请减免费用,,,
wtxxc,一门,一网,一线,,,,
ddzqd,政务服务网,政务服务APP,微信公众号,评价器或自助服务终端,,,
hzxbl,咨询,投诉,求助,建议,,,
djbyz,问题需求导向,集成汇聚增效,无差别办理,协同联动共享,,,
gzqbq,接听,协调,转接,答复,,,
wqyqz,打得通,有人接,答得清,,,,
jlcth,接通率,满意率,,,,,
yzsxs,标准统一,分类施策,重点突破,全面覆盖,,,
sxyhq,受理类,代收代办类,咨询预审类,,,,
xnxgn,自助办理政务服务事项,企业群众与前台受理、后台审批人员一对一在线视频办理业务,读取身份证、银行卡、社保卡等，高清扫描上传电子材料,签批系统实时核验信息，可作出审批决定的，使用电子印章当场出具审批结果,,,
hzqcl,对于不属于首问负责人职责范围的，首问负责人应告知或引导服务对象到相关承办窗口或部门咨询办理,对于不属于政务服务中心职责范围的，首问负责人应尽可能帮助服务对象寻找相关承办部门,,,,,
nbhnx,政务服务突发事件、信息安全泄露、常见紧急抢救等应急处置技能,信息采集和处理、数据统计和分析、互联网信息辨识等数字化技能,特殊群体办事人员、外籍办事人员沟通对话与服务技能,人员管理、团队建设、现场服务管理等运营管理技能,,,
ynxyq,应使用普通话，文明用语、口齿清楚、条理清晰、言简意赅,应音量适中、语速得当、语调温和、语气亲切,对特殊需求的服务对象，宜使用与之相适应的语言进行沟通,应使用先生/女士等尊称和“请”“您好”“谢谢”“对不起”“再见”等文明用语,,,
jbyzs,坚持需求导向,坚持标准引领,坚持靠前服务,坚持公开透明,,,
qzdbh,服务承诺制度,亮明身份制度,错峰延时服务制度,监督评价制度,,,
dfwfs,预约服务,手语翻译,志愿者服务,,,,
dwzas,低位服务设施,无障碍电梯,无障碍卫生间（无障碍厕位）,无障碍机动车位,,,
sfwdy,市级政务服务大厅,区级部门专业大厅,网上政务服务大厅,政务服务应用小程序,,,
dpzfc,在政务服务大厅建筑物出入口实施坡化处理，方便轮椅通行,设置低位服务设施（如低位咨询台、填单台），便于轮椅使用者办理业务,在大厅入口或显著位置设置楼内示意图,政府网站和政务服务应用小程序应具备信息无障碍功能,,,
jbdgn,政务服务应用小程序应提供人脸识别登录服务。,政府网站中的网页不应设置操作时间（计时是活动的必要部分或关键要素的情况除外）。,政府网站应为网页中的有关非文本链接、控件等提供替代文本或文字性说明。,,,,
wsyzd,符合受理条件的事项，应告知办理时限和取件方式；不符合受理条件的事项，应一次性告知补正内容。,非本窗口受理的事项，应告知该事项具体受理服务区域。,服务对象如需复印、拍照、快递等服务的，应告知相关服务的具体位置。,,,,
fzqds,应按服务对象流量合理配备安保力量，并建立日常巡查制度。,如遇服务对象数量剧增或秩序不可控时，应增配安保力量或求助警力。,窗口人员应按序或按叫号顺序逐一提供服务。,,,,
fzqds,对等候事项办理的服务对象，应引导其在一米线外排队等候，或引导至等候休憩区等待。,如遇烦躁、情绪激动和特殊服务对象，应及时安抚和引导。,应主动做好现场其他服务对象的引导，确保有序流动。,,,,
xczyq,遗失物品登记,遗失物品保存,遗失物品认领,遗失物品注销,,,
xnxzl,业务资料,文件资料,宣传资料,,,,
sbbdb,响应率,解决率,满意度,,,,
syddz,语音唤起,预约,办理,问答,,,
xnxfw,政策推荐、咨询、解读、申报等政策服务,公证、合规指导、涉企纠纷调解等法律服务,,,,,
lkszx,组织作弊,代替他人参加考试,向他人出售考试试题,,,,
dhtfw,固定期限劳动合同,无固定期限劳动合同,以完成一定工作任务为期限的劳动合同,,,,
fzqdy,劳动合同期限三个月以上不满一年的，试用期不得超过一个月,劳动合同期限一年以上不满三年的，试用期不得超过二个月,三年以上固定期限和无固定期限，试用期不得超过六个月,同一用人单位与同一劳动者，离职后又入职的，试用期不得超过一个月,,,
fjjbc,在试用期间被证明不符合录用条件的；,严重违反用人单位的规章制度的；,严重失职，营私舞弊，给用人单位造成重大损害的；,劳动者同时与其他用人单位建立劳动关系，对完成本单位的工作任务造成严重影响，或者经用人单位提出，拒不改正的；,"以欺诈、胁迫的手段或者乘人之危,使对方在违背真实意思的情况下订立或者变更劳动合同的；",被依法追究刑事责任的。,
htdtj,劳动者非因工负伤，医疗期满后，不能从事原工作的,劳动者不能胜任工作，经过培训后，仍然不能胜任工作的,公司办公地点即将从北京迁至上海，与劳动者协商变更劳动合同内容未能达成一致的,,,,
hcyjs,涉及面广，需要多个部门协同办理的事项,办理频率高、办理时间相对集中的事项,需要跨层级办理的事项,,,,
yxnxx,远程身份核验,音视频交互,屏幕共享技术,,,,
zzqdy,应当对履行职责过程中形成的电子文件进行规范管理,应按照档案管理要求及时以电子形式归档并向档案部门移交,除法律、行政法规另有规定外，电子文件不再以纸质形式归档和移交,,,,
zzqdy,涉及国家秘密的政务服务事项，可以不实行网上全程办理,有关政府部门可以鼓励但不得强制限制经营主体仅通过网上方式办理,法律法规另有规定的政务服务事项，可以不实行网上全程办理,,,,
zzqdy,各级政务服务中心公开的预约电话原则上应与对外公布的综合咨询电话保持一致,电话接听人员需记录办事人姓名、预约时间和事项，并一次性告知所需材料,预约信息需做好与延时服务窗口及后台审批人员的交接工作,,,,
dwfqx,违法披露申请人的商业秘密,以转让技术作为取得行政许可的条件,,,,,
fzqdy,现场差评由承担差评处理职能部门第一时间核实,线上差评需与服务对象联系明确原因,不实评价应认定为无效差评并记录为 “未评”,,,,
hqtzz,自然人,法人,,,,,
zydyh,全程网办,多地联办,代收代办,,,,
hrxyq,不得违反国家及本市法律法规和相关规定；,不得影响对该事项合规合法性审查的评估判断；,不属于永久性缺项材料；,后补材料不得与已审核材料不一致。,,,
qrhcn,所作承诺是申请人真实意思表示；,已经知晓各受理窗口告知的全部内容；,提供的所有申请材料真实有效；,在承诺期限内补齐补正全部容缺受理材料；,愿意承担违反承诺的法律责任。,,
hspbm,现场补交,邮政寄递,,,,,
hsgjd,根本制度,根本任务,,,,,
zbqfy,维护宪法尊严,保证宪法实施,,,,,
ldjgs,全国人民代表大会,地方各级人民代表大会,,,,,
dyrmd,国家行政机关,监察机关,审判机关,检察机关,,,
zzshg,保守国家秘密,爱护公共财产,遵守劳动纪律,遵守公共秩序,,,
sfbzd,办理的时限,提交材料,办理程序,,,,
hyxyq,遵循文明礼仪要求；,依照事项办理规程和要求为服务对象提供服务；,依法公开服务信息；,不断优化服务方式和服务行为，提供便捷高效服务，达到服务对象满意。,,,
zyxfm,仪容仪表,行为举止,服务语言,,,,
yydyq,应以协调适宜的自然语言和身体语言服务。,提倡使用普通话，文明用语、言简意赅、语调语速适当,对特殊需求的服务对象，宜使用与之相适应的语言进行沟通。,,,,
dgffw,系统性,整体性,协同性,,,,
dyzbd,赋权,下沉,增效,,,,
lgbms,市场监管,公安,,,,,
dysfw,“早晚弹性办”服务,“午间不间断”服务,“周末不休息”服务,,,,
dnrjl,工作人员姓名,工作职责,联系方式,,,,
mmdyw,一切国家机关和武装力量,各政党和各人民团体,企业事业组织,其他社会组织以及公民,,,
njgdj,绝密,秘密,机密,,,,
dzqdy,能够限定到具体人员的，限定到具体人员,不能限定到具体人员的，限定到机关、单位，由该机关、单位限定到具体人员。,,,,,
zxwdy,非法复制、记录、存储国家秘密。,在私人交往和通信中涉及国家秘密。,未按照国家保密规定和标准采取有效保密措施，在互联网及其他公共信息网络或者有线和无线通信中传递国家秘密。,,,,
sdqxy,在互联网及其他公共信息网络或者有线和无线通信中传递国家秘密的,将涉密信息系统、涉密信息设备接入互联网及其他公共信息网络的,在涉密信息系统、涉密信息设备与互联网及其他公共信息网络之间进行信息交换的,,,,
dqxbk,非法获取、持有国家秘密载体的,买卖、转送或者私自销毁国家秘密载体的,通过普通邮政、快递等无保密措施的渠道传递国家秘密载体的,寄递、托运国家秘密载体出境，或者未经有关主管部门批准，携带、传递国家秘密载体出境的,,,
fzqdy,一般用3号仿宋体字,编排于主送机关名称下一行,每个自然段左空二字,回行顶格,,,
fzqdy,结构层次序数依次可以用“一、”“(一)”“1.”“(1)”标注,一般第一层用黑体字,一般第二层用楷体字,一般第三层和第四层用仿宋体字标注,,,
qzqds,如有附件，在正文下空一行左空二字编排“附件”二字，后标全角冒号和附件名称。,如有多个附件，使用阿拉伯数字标注附件顺序号（如“附件:1.×××××”）。,附件名称后不加标点符号。,附件名称较长需回行时，应当与上一行附件名称的首字对齐。,,,
fzqdy,印章顶端应当上距正文（或附件说明）一行之内,印章端正、居中下压发文机关署名和成文日期,发文机关署名和成文日期居印章中心偏下位置,,,,
sdgzy,印章一一对应、端正、居中下压发文机关署名,最后一个印章端正、居中下压发文机关署名和成文日期,印章之间排列整齐、互不相交或相切,每排印章两端不得超出版心,首排印章顶端应当上距正文（或附件说明）一行之内,,
fzqdy,月、日不编虚位（即1不编为01）,用阿拉伯数字将年、月、日标全,年份应标全称,,,,
fzqdy,政务服务中心宜在信息公开网站或在门户网站设置“信息公开”专栏,编制并发布信息公开指南和目录,宜公布中心简介，办事事项、办事指南、表格下载、网上申请、网上受理、结果反馈等信息,,,,
dqxwy,场地限制,涉及国家秘密,,,,,
klxbk,综合咨询窗口,综合办事窗口,帮办代办窗口,“跨省通办”窗口,“办不成事”反映窗口,,
xzqds,线上线下并行提供服务，满足企业和群众的多样化办事需求。,对已实现线上办理的政务服务事项，原则上要同步提供线下窗口办事服务，由企业和群众自主选择办理渠道。,申请人在线下办理业务时，不得强制要求其先到线上预约或在线提交申请材料。,已在线收取申请材料或通过部门间共享能获取规范化电子材料的，不得要求申请人重复提交纸质材料。,,,
dfstd,直接取消证照材料,数据共享,在线核验,,,,
tjcsy,推广24小时自助服务,推动集成式自助终端向村（社区）、园区、商场、楼宇和银行、邮政、电信网点等场所延伸,鼓励各地区整合公安、税务、社会保障、医疗保障等自助服务功能,推动更多事项全程自助办理,,,
dcsbk,健全完善和督促落实相关服务标准,合理确定政府购买服务价格,增强人员队伍的稳定性,开展等级认定、定岗晋级等工作,,,
sgzry,服务意识,业务能力,办事效率,,,,
czqds,及时告知本部门首席代表,及时告知本部门处（科）室负责人,由首席代表及时组织政务服务中心审批人员和窗口人员培训,由处（科）室负责人及时组织政务服务中心审批人员和窗口人员培训,,,
dsfpc,正确,,,,,,
lfwjg,正确,,,,,,
rrhfr,错误,,,,,,
yhdfw,正确,,,,,,
dxskj,错误,,,,,,
djzsx,正确,,,,,,
sfwzl,错误,,,,,,
xsdhr,正确,,,,,,
llzfs,错误,,,,,,
rrggq,正确,,,,,,
hjgtx,正确,,,,,,
xwdzm,错误,,,,,,
qzhdg,错误,,,,,,
tbzbl,正确,,,,,,
mmdsj,错误,,,,,,
bldqx,正确,,,,,,
gxzfw,错误,,,,,,
hfksg,正确,,,,,,
yzsbl,正确,,,,,,
xkbzb,错误,,,,,,
cgzjy,正确,,,,,,
xjzts,正确,,,,,,
dfwsx,正确,,,,,,
xzdfw,正确,,,,,,
xzspj,错误,,,,,,
xdqfg,错误,,,,,,
ggdsf,错误,,,,,,
ddgjj,错误,,,,,,
kcjck,正确,,,,,,
yzjbl,错误,,,,,,
qpzwj,错误,,,,,,
wsdwc,错误,,,,,,
dblfs,正确,,,,,,
qjxbz,错误,,,,,,
ygxxy,正确,,,,,,
gtyfm,正确,,,,,,
cwbfw,正确,,,,,,
lbmfz,正确,,,,,,
qdxzb,正确,,,,,,
zjjdw,正确,,,,,,
bdqfb,正确,,,,,,
gydhq,错误,,,,,,
jzzcl,正确,,,,,,
ztgbl,正确,,,,,,
rjxhf,错误,,,,,,
cjjqt,正确,,,,,,
xfwcs,错误,,,,,,
sqhfw,正确,,,,,,
dsjpt,正确,,,,,,
xbdfw,错误,,,,,,
dxzts,错误,,,,,,
yzsbl,错误,,,,,,
thlht,正确,,,,,,
wjxzg,错误,,,,,,
thszg,错误,,,,,,
zgyfk,正确,,,,,,
hzxdh,错误,,,,,,
gjtfw,正确,,,,,,
sjgdh,正确,,,,,,
jtlgy,错误,,,,,,
dfsjt,正确,,,,,,
wfwsx,错误,,,,,,
gblfw,错误,,,,,,
ytzxd,正确,,,,,,
nmzzj,正确,,,,,,
xrqsl,错误,,,,,,
skyjy,正确,,,,,,
qxczx,正确,,,,,,
yzspx,错误,,,,,,
jshds,正确,,,,,,
yjtwz,错误,,,,,,
afhyd,正确,,,,,,
qbbbs,错误,,,,,,
hdwjs,错误,,,,,,
wfwsx,错误,,,,,,
hqtzz,正确,,,,,,
wfwsx,错误,,,,,,
qzrtg,正确,,,,,,
ryxjl,错误,,,,,,
ryxjl,错误,,,,,,
yyxfk,正确,,,,,,
yyxfk,错误,,,,,,
zgzyf,正确,,,,,,
cldht,正确,,,,,,
tfwxm,正确,,,,,,
dddwz,错误,,,,,,
zzyfs,正确,,,,,,
nrdsj,正确,,,,,,
bxdyz,错误,,,,,,
ddzwj,正确,,,,,,
wdzda,错误,,,,,,
mdbsr,正确,,,,,,
dzjfw,错误,,,,,,
dflzr,错误,,,,,,
ffwdx,正确,,,,,,
syxsx,正确,,,,,,
dfwsx,错误,,,,,,
xthsb,错误,,,,,,
zzdzd,错误,,,,,,
dcnsx,错误,,,,,,
hjdwj,错误,,,,,,
qclth,正确,,,,,,
gzcnz,正确,,,,,,
bcxsb,错误,,,,,,
hzygj,正确,,,,,,
hzyzd,正确,,,,,,
grhgm,错误,,,,,,
stxjd,错误,,,,,,
dfpzd,错误,,,,,,
xwgxh,正确,,,,,,
lfwjg,正确,,,,,,
zlpsg,正确,,,,,,
ltyfb,正确,,,,,,
bjtzs,错误,,,,,,
pzdjd,错误,,,,,,
tjggz,正确,,,,,,
wfwzx,错误,,,,,,
zfwzd,正确,,,,,,
dflzj,正确,,,,,,
yzssh,错误,,,,,,
bmgdl,错误,,,,,,
wyycl,正确,,,,,,
xrhdz,错误,,,,,,
txhlx,正确,,,,,,
plhdz,错误,,,,,,
zxywz,正确,,,,,,
fkdxx,正确,,,,,,
hsqcl,错误,,,,,,
yddfw,正确,,,,,,
zsqbl,错误,,,,,,
xzzpx,正确,,,,,,
nwcpx,错误,,,,,,
